Date,Weekday,Avg. Temperature,sunshine_duration_in_min,rain_time_in_min,Costs,Clicks,TV,Radio,ATL - Media,Users,aantal_geaccepterrd,unieke_opens,Partner Voucherorders,multi_cat_type_beverage,multi_cat_type_cards,multi_cat_type_flowers,multi_cat_type_balloons,multi_cat_type_cake,multi_cat_type_chocolate,multi_cat_type_baby&kids,multi_cat_type_mannenproducten,multi_cat_type_beauty,multi_cat_type_personalized,multi_cat_type_mugs,multi_cat_type_all,multi_cat_type_books,multi_cat_type_other,marketing_Balloons,marketing_Beauty,marketing_Beverage,marketing_Books,marketing_Cards,marketing_Chocolate,marketing_Flowers,marketing_Multi-cat
01-01-2018,maandag,6.8,126.0,414.0,1852.32,5394.0,0.0,0.0,0.0,41641.0,11.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
02-01-2018,dinsdag,6.5,84.0,372.0,4574.02,10513.0,0.0,0.0,0.0,52965.0,22.0,2.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
03-01-2018,woensdag,8.8,12.0,306.0,4899.01,11431.0,0.0,0.0,0.0,44864.0,39.0,9.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
04-01-2018,donderdag,8.2,12.0,96.0,4425.01,10687.0,0.0,0.0,0.0,45725.0,15.0,3.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
05-01-2018,vrijdag,6.4,0.0,150.0,4056.74,9642.0,0.0,0.0,0.0,37825.0,53.0,12.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
06-01-2018,zaterdag,4.5,42.0,0.0,3030.45,6835.0,0.0,0.0,0.0,32904.0,17.0,3.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
07-01-2018,zondag,1.0,372.0,0.0,3230.12,8562.0,0.0,0.0,0.0,32932.0,13.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
08-01-2018,maandag,1.1,390.0,0.0,4769.08,11693.0,0.0,3541.2780952380895,3541.2780952380895,63086.0,19.0,4.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
09-01-2018,dinsdag,3.0,18.0,0.0,4751.09,11292.0,0.0,3541.2780952380895,3541.2780952380895,46263.0,45.0,15.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
10-01-2018,woensdag,6.9,0.0,348.0,4931.71,11618.0,0.0,3541.2780952380895,3541.2780952380895,44865.0,28.0,9.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
11-01-2018,donderdag,5.7,0.0,0.0,5040.89,11705.0,0.0,3541.2780952380895,3541.2780952380895,40609.0,16.0,4.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
12-01-2018,vrijdag,5.0,0.0,0.0,4254.34,10487.0,0.0,3541.2780952380895,3541.2780952380895,47742.0,41.0,13.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
13-01-2018,zaterdag,4.2,0.0,0.0,2905.05,7437.0,0.0,3541.2780952380895,3541.2780952380895,29016.0,22.0,5.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
14-01-2018,zondag,2.9,300.0,0.0,2950.85,9355.0,0.0,3541.2780952380895,3541.2780952380895,32705.0,32.0,9.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
15-01-2018,maandag,5.2,0.0,570.0,4716.77,12890.0,0.0,3541.2780952380895,3541.2780952380895,55227.0,52.0,15.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16-01-2018,dinsdag,5.2,174.0,348.0,4449.4,11806.0,0.0,3541.2780952380895,3541.2780952380895,44038.0,17.0,3.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
17-01-2018,woensdag,4.6,30.0,186.0,4701.06,12488.0,0.0,3541.2780952380895,3541.2780952380895,40962.0,30.0,9.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
18-01-2018,donderdag,4.7,24.0,390.0,4098.98,11315.0,0.0,3541.2780952380895,3541.2780952380895,36387.0,45.0,22.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
19-01-2018,vrijdag,3.7,150.0,294.0,4504.68,11345.0,0.0,3541.2780952380895,3541.2780952380895,34948.0,12.0,8.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
20-01-2018,zaterdag,2.2,24.0,120.0,4071.76,8954.0,0.0,3541.2780952380895,3541.2780952380895,26399.0,15.0,6.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
21-01-2018,zondag,3.0,288.0,162.0,5193.68,11487.0,0.0,3541.2780952380895,3541.2780952380895,30589.0,13.0,4.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
22-01-2018,maandag,6.3,30.0,114.0,7159.85,15298.0,0.0,3541.2780952380895,3541.2780952380895,59744.0,32.0,8.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
