Date,Target,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Weekday_dinsdag,Weekday_donderdag,Weekday_maandag,Weekday_vrijdag,Weekday_woensdag,Weekday_zaterdag,Weekday_zondag,Spc dag pos aanloop_Broer en zussen dag,Spc dag pos aanloop_Kerst,Spc dag pos aanloop_Moederdag,Spc dag pos aanloop_Sinterklaas,Spc dag pos aanloop_Vaderdag,Spc dag pos aanloop_Valentijnsdag,Spc dag pos_1e kerstdag,Spc dag pos_2e kerstdag,Spc dag pos_Broer en zussen dag,Spc dag pos_Moederdag,Spc dag pos_Oudjaarsdag,Spc dag pos_Sinterklaas,Spc dag pos_Vaderdag,Spc dag pos_Valentijnsdag,Spc dag neg_1e Paasdag,Spc dag neg_1e Pinksterdag,Spc dag neg_2e Paasdag,Spc dag neg_2e Pinksterdag,Spc dag neg_Bevrijdingsdag,"Spc dag neg_Bevrijdingsdag, Hemelvaart",Spc dag neg_Goede vrijdag,Spc dag neg_Hemelvaart,Spc dag neg_Koninginnedag/Koningsdag,Spc dag neg_Nieuwjaarsdag
01-01-13,22.0,7.0,72.0,528.0,5171.0,16520.0,1706.31,4134.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02-01-13,21922.0,7.0,264.0,84.0,7991.0,21798.0,1978.44,5567.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01-13,15328.0,10.0,0.0,96.0,7610.0,20847.0,2117.9,5528.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01-13,17103.0,9.0,0.0,180.0,7330.0,19652.0,1917.6,5228.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-01-13,0.0,8.0,0.0,42.0,4125.0,14628.0,1673.02,3908.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-13,13463.0,8.0,84.0,0.0,7566.0,20292.0,2163.49,5856.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01-13,3510.0,7.0,0.0,0.0,8976.0,23939.0,2413.75,6778.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-13,7731.0,7.0,0.0,0.0,8321.0,22643.0,2349.03,6461.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-13,13478.0,7.0,0.0,750.0,8866.0,24094.0,2547.68,7262.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-13,14846.0,6.0,144.0,174.0,11031.0,31531.0,2130.97,6290.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
