Date,Weekday,Avg. Temperature,sunshine_duration_in_min,rain_time_in_min,Costs,Clicks,TV,Radio,ATL - Media,Users,aantal_geaccepterrd,unieke_opens,Partner Voucherorders,Marketing_campagne_cat,Multi-cat_type,Speciale_dag,Grand Total
01-01-2017,zondag,0.5,0,300,1051.99,2949,,,,33826,1012,328,64,,,,9423
02-01-2017,maandag,3,258,60,2548.93,5755,,,,55046,250,116,147,Multi-cat,Beverage,,21430
03-01-2017,dinsdag,5,30,36,2429.84,5813,,,,36489,447,128,153,Multi-cat,Beverage,,18638
04-01-2017,woensdag,5.8,198,66,2715.1,5908,,,,43876,1862,646,162,Multi-cat,Beverage,,18170
05-01-2017,donderdag,0,348,0,2514.28,5770,,,,39234,394,206,168,Multi-cat,Beverage,,16357
06-01-2017,vrijdag,-3,372,0,2353.19,5275,,,,28514,607,205,174,Multi-cat,Beverage,,14499
07-01-2017,zaterdag,-0.2,0,564,2031.71,3872,,,,19936,406,140,40,Multi-cat,Beverage,,8582
08-01-2017,zondag,4.3,0,0,2496.7,5085,,,,26551,580,222,70,Multi-cat,Beverage,,14054
09-01-2017,maandag,4.8,0,246,4066.19,7404,,,,49637,497,205,85,"Flowers, Cards, Balloons, Chocolate",,,18956
10-01-2017,dinsdag,5.3,60,288,3543.66,7030,,,,55365,1284,402,104,"Flowers, Cards, Balloons, Chocolate",,,18561
11-01-2017,woensdag,7.2,168,96,3455.97,7227,,,,37128,386,154,122,"Flowers, Cards, Balloons, Chocolate",,,18395
12-01-2017,donderdag,5.2,84,480,3214.54,6707,,,,31391,392,130,118,"Flowers, Cards, Balloons, Chocolate",,,17516
13-01-2017,vrijdag,3.1,192,324,2771.66,6073,,,,37585,1170,413,144,"Flowers, Cards, Balloons, Chocolate",,,14707
14-01-2017,zaterdag,1.8,138,216,2207.8,4128,,,,22456,780,256,84,"Flowers, Cards, Balloons, Chocolate",,,8859
15-01-2017,zondag,0.7,198,0,2728.02,5595,,,,26918,969,295,118,"Flowers, Cards, Balloons, Chocolate",,,14407
16-01-2017,maandag,-1.6,108,0,3630.21,7402,,,,42163,1008,272,133,"Flowers, Cards, Balloons, Chocolate",,,19363
17-01-2017,dinsdag,-3.4,216,0,3313.74,7025,,,,46175,400,119,104,"Flowers, Cards, Balloons, Chocolate",,,17960
18-01-2017,woensdag,-3.8,108,0,3501.53,7334,,,,41702,323,100,115,"Flowers, Cards, Balloons, Chocolate",,,17240
19-01-2017,donderdag,-2,402,0,3106.72,6743,,,,62092,234,61,119,"Flowers, Cards, Balloons, Chocolate",,,15703
