Date,Weekday,SEA Som van Kosten,SEA Som van Klikken
1-Jan-10,Vrijdag,411.08,1580
2-Jan-10,Zaterdag,423.31,1823
3-Jan-10,Zondag,406.08,2043
4-Jan-10,Maandag,428.61,2048
5-Jan-10,Dinsdag,392.11,1736
6-Jan-10,Woensdag,395.59,1622
7-Jan-10,Donderdag,386.21,1514
8-Jan-10,Vrijdag,334.84,1446
9-Jan-10,Zaterdag,417.84,1504
10-Jan-10,Zondag,424.83,1758
11-Jan-10,Maandag,437.94,1900
12-Jan-10,Dinsdag,429.4,1815
13-Jan-10,Woensdag,422.61,1869
14-Jan-10,Donderdag,409.49,1645
15-Jan-10,Vrijdag,387.47,1543
16-Jan-10,Zaterdag,334.22,1271
17-Jan-10,Zondag,399.77,1621
18-Jan-10,Maandag,414.88,1803
19-Jan-10,Dinsdag,401.67,1730
20-Jan-10,Woensdag,412.67,1653
21-Jan-10,Donderdag,445.67,1640
22-Jan-10,Vrijdag,408.44,1503
23-Jan-10,Zaterdag,425.07,1273
24-Jan-10,Zondag,448.26,1582
25-Jan-10,Maandag,452.06,1753
26-Jan-10,Dinsdag,552.73,1972
27-Jan-10,Woensdag,581,2229
28-Jan-10,Donderdag,580.89,2164
29-Jan-10,Vrijdag,588.08,2038
30-Jan-10,Zaterdag,552.42,1750
31-Jan-10,Zondag,588.11,2062
1-Feb-10,Maandag,639.48,2452
2-Feb-10,Dinsdag,641.98,2545
3-Feb-10,Woensdag,624.07,2450
4-Feb-10,Donderdag,584.96,2239
5-Feb-10,Vrijdag,568.52,2120
6-Feb-10,Zaterdag,529.35,1743
7-Feb-10,Zondag,611.44,2169
8-Feb-10,Maandag,640.36,2550
9-Feb-10,Dinsdag,604.01,2473
10-Feb-10,Woensdag,500.46,2659
11-Feb-10,Donderdag,699.99,2888
12-Feb-10,Vrijdag,694.67,2683
13-Feb-10,Zaterdag,688.1,2222
14-Feb-10,Zondag,739.54,2638
15-Feb-10,Maandag,622.69,2190
16-Feb-10,Dinsdag,678.11,2392
17-Feb-10,Woensdag,680.1,2389
18-Feb-10,Donderdag,681.54,2282
19-Feb-10,Vrijdag,671.67,2274
20-Feb-10,Zaterdag,698.27,2037
21-Feb-10,Zondag,714.41,2352
22-Feb-10,Maandag,713.07,2558
23-Feb-10,Dinsdag,675.74,2297
24-Feb-10,Woensdag,680.03,2236
25-Feb-10,Donderdag,671.51,2274
26-Feb-10,Vrijdag,666.09,2111
27-Feb-10,Zaterdag,664.99,1939
28-Feb-10,Zondag,693.39,2316
1-Mar-10,Maandag,750.73,2379
