Date,Weekday,Voucher Total,Emails geaccepteerd,Emails unieke opens,Traffic Total,Traffic split desktop,Traffic split mobile,Traffic split tablet,Som van Kosten,Som van Klikken,Order volumes total,Avg. Temperature,sunshine_duration_in_min,rain_time_in_min,Marketing_campagne_cat,Multi-cat_type,Spc dag pos aanloop,Spc dag pos,Spc dag neg,TV,Radio,ATL - Media
1-Jan-10,Vrijdag,1603,,,7016,,,,411.08,1580,3527,,,,,,,,,,,
2-Jan-10,Zaterdag,2722,,,8988,,,,423.31,1823,5584,,,,,,,,,,,
3-Jan-10,Zondag,3731,,,10512,,,,406.08,2043,7996,,,,,,,,,,,
4-Jan-10,Maandag,4812,,,11726,,,,428.61,2048,8841,,,,,,,,,,,
5-Jan-10,Dinsdag,4342,,,10222,,,,392.11,1736,8176,,,,,,,,,,,
6-Jan-10,Woensdag,4205,,,9101,,,,395.59,1622,7032,,,,,,,,,,,
7-Jan-10,Donderdag,3695,,,8634,,,,386.21,1514,5853,,,,,,,,,,,
8-Jan-10,Vrijdag,3251,,,7638,,,,334.84,1446,5463,,,,,,,,,,,
9-Jan-10,Zaterdag,2334,,,6669,,,,417.84,1504,4155,,,,,,,,,,,
10-Jan-10,Zondag,4195,,,11182,,,,424.83,1758,7175,,,,,,,,,,,
11-Jan-10,Maandag,4648,,,10616,,,,437.94,1900,7131,,,,,,,,,,,
12-Jan-10,Dinsdag,4236,,,10306,,,,429.4,1815,6998,,,,,,,,,,,
13-Jan-10,Woensdag,4021,,,9420,,,,422.61,1869,6166,,,,,,,,,,,
14-Jan-10,Donderdag,3806,,,8715,,,,409.49,1645,6035,,,,,,,,,,,
15-Jan-10,Vrijdag,3397,,,8106,,,,387.47,1543,5046,,,,,,,,,,,
16-Jan-10,Zaterdag,2113,,,5936,,,,334.22,1271,3412,,,,,,,,,,,
17-Jan-10,Zondag,3425,,,7999,,,,399.77,1621,5898,,,,,,,,,,,
18-Jan-10,Maandag,4350,,,9632,,,,414.88,1803,6358,,,,,,,,,,,
19-Jan-10,Dinsdag,4463,,,11103,,,,401.67,1730,6848,,,,,,,,,,,
20-Jan-10,Woensdag,4531,,,11911,,,,412.67,1653,6696,,,,,,,,,,,
21-Jan-10,Donderdag,3852,,,9116,,,,445.67,1640,5457,,,,,,,,,,,
22-Jan-10,Vrijdag,3266,,,7753,,,,408.44,1503,4919,,,,,,,,,,,
23-Jan-10,Zaterdag,2022,,,5845,,,,425.07,1273,3176,,,,,,,,,,,
24-Jan-10,Zondag,3430,,,7956,,,,448.26,1582,5867,,,,,,,,,,,
25-Jan-10,Maandag,4354,,,9482,,,,452.06,1753,6301,,,,,,,,,,,
26-Jan-10,Dinsdag,3984,,,9220,,,,552.73,1972,5805,,,,,,,,,,,
27-Jan-10,Woensdag,4217,,,9804,,,,581,2229,7345,,,,,,,,,,,
28-Jan-10,Donderdag,4114,,,9499,,,,580.89,2164,6001,,,,,,,,,,,
29-Jan-10,Vrijdag,3605,,,8917,,,,588.08,2038,5189,,,,,,,,,,,
30-Jan-10,Zaterdag,2093,,,6598,,,,552.42,1750,3473,,,,,,,,,,,
31-Jan-10,Zondag,3527,,,8793,,,,588.11,2062,5907,,,,,,,,,,,
1-Feb-10,Maandag,4653,,,14651,,,,639.48,2452,6952,,,,,,,,,,,
2-Feb-10,Dinsdag,6042,,,26321,,,,641.98,2545,8995,,,,,,,,,,,
3-Feb-10,Woensdag,5176,,,22704,,,,624.07,2450,7985,,,,,,,,,,,
4-Feb-10,Donderdag,4511,,,18040,,,,584.96,2239,7024,,,,,,,,,,,
5-Feb-10,Vrijdag,3793,,,18325,,,,568.52,2120,5361,,,,,,,,,,,
6-Feb-10,Zaterdag,2450,,,15163,,,,529.35,1743,3694,,,,,,,,,,,
7-Feb-10,Zondag,3866,,,17330,,,,611.44,2169,6312,,,,,,,,,,,
8-Feb-10,Maandag,5680,,,27690,,,,640.36,2550,8360,,,,,,,,,,,
9-Feb-10,Dinsdag,7583,,,36037,,,,604.01,2473,10253,,,,,,,,,,,
10-Feb-10,Woensdag,8701,,,38539,,,,500.46,2659,12578,,,,,,,,,,,
11-Feb-10,Donderdag,7911,,,30701,,,,699.99,2888,11041,,,,,,,,,,,
12-Feb-10,Vrijdag,6614,,,25018,,,,694.67,2683,9330,,,,,,,,,,,
13-Feb-10,Zaterdag,2756,,,18871,,,,688.1,2222,3835,,,,,,,,,,,
14-Feb-10,Zondag,3509,,,20502,,,,739.54,2638,5389,,,,,,,,,,,
15-Feb-10,Maandag,4278,,,12229,,,,622.69,2190,6146,,,,,,,,,,,
16-Feb-10,Dinsdag,4091,,,10613,,,,678.11,2392,5995,,,,,,,,,,,
17-Feb-10,Woensdag,4293,,,10751,,,,680.1,2389,6165,,,,,,,,,,,
18-Feb-10,Donderdag,3921,,,10183,,,,681.54,2282,6770,,,,,,,,,,,
19-Feb-10,Vrijdag,3696,,,9417,,,,671.67,2274,5068,,,,,,,,,,,
20-Feb-10,Zaterdag,2441,,,8155,,,,698.27,2037,3701,,,,,,,,,,,
21-Feb-10,Zondag,3573,,,10174,,,,714.41,2352,5330,,,,,,,,,,,
22-Feb-10,Maandag,5471,,,14184,,,,713.07,2558,7936,,,,,,,,,,,
23-Feb-10,Dinsdag,4442,,,10809,,,,675.74,2297,6305,,,,,,,,,,,
24-Feb-10,Woensdag,4166,,,10361,,,,680.03,2236,6167,,,,,,,,,,,
25-Feb-10,Donderdag,6479,,,14992,,,,671.51,2274,9543,,,,,,,,,,,
26-Feb-10,Vrijdag,7225,,,18383,,,,666.09,2111,10160,,,,,,,,,,,
27-Feb-10,Zaterdag,3419,,,10562,,,,664.99,1939,5648,,,,,,,,,,,
28-Feb-10,Zondag,5399,,,13452,,,,693.39,2316,9189,,,,,,,,,,,
1-Mar-10,Maandag,5627,,,13552,,,,750.73,2379,8595,,,,,,,,,,,
2-Mar-10,Dinsdag,5450,,,16163,,,,700.68,2283,8755,,,,,,,,,,,
3-Mar-10,Woensdag,5786,,,20181,,,,715.52,2169,8436,,,,,,,,,,,
4-Mar-10,Donderdag,4280,,,11986,,,,690.74,2074,6381,,,,,,,,,,,
5-Mar-10,Vrijdag,3903,,,10611,,,,630.36,2015,6034,,,,,,,,,,,
6-Mar-10,Zaterdag,2238,,,7609,,,,625.29,1827,3714,,,,,,,,,,,
7-Mar-10,Zondag,3649,,,9775,,,,719.06,2296,6193,,,,,,,,,,,
8-Mar-10,Maandag,4896,,,12001,,,,736.92,2505,7323,,,,,,,,,,,
9-Mar-10,Dinsdag,4220,,,10584,,,,638.88,2303,6276,,,,,,,,,,,
10-Mar-10,Woensdag,4745,,,11057,,,,649.62,2287,6844,,,,,,,,,,,
11-Mar-10,Donderdag,4122,,,10317,,,,679.59,2393,6002,,,,,,,,,,,
12-Mar-10,Vrijdag,3478,,,10055,,,,662.87,2123,5258,,,,,,,,,,,
13-Mar-10,Zaterdag,2229,,,8366,,,,560.92,1746,3701,,,,,,,,,,,
