Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
01-01-12,1,zondag,12,0,678,2001,12208,1310.9,4491,,,,,Nieuwjaarsdag
02-01-12,11727,maandag,8,174,0,7875,19411,1552.64,5067,,,,,
03-01-12,1343,dinsdag,7,0,336,7712,18999,1580.42,5204,,,,,
04-01-12,1197,woensdag,7,42,450,7877,20658,1470.41,4933,,,,,
05-01-12,8779,donderdag,7,102,330,8009,23207,1461.01,4818,,,,,
06-01-12,11054,vrijdag,7,84,66,6148,16217,1326.83,4231,,,,,
07-01-12,,zaterdag,8,42,294,4114,13335,1307.69,3829,,,,,
08-01-12,11807,zondag,7,18,0,6122,16003,1366.27,4478,,,,,
09-01-12,11529,maandag,8,42,54,8308,19632,1574.74,6145,,,,,
10-01-12,12502,dinsdag,8,144,0,7738,17913,1545.04,6077,,,,,
11-01-12,11955,woensdag,8,0,186,7928,17888,1526.63,5989,,,,,
12-01-12,12212,donderdag,8,66,12,7334,16486,1432.58,5392,,,,,
13-01-12,13345,vrijdag,6,312,48,6317,15447,1292.17,5280,,,,,
14-01-12,,zaterdag,4,240,0,3844,11497,1086.53,3784,,,,,
15-01-12,12507,zondag,2,168,0,6752,15798,1436.9,5390,,,,,
16-01-12,5402,maandag,-1,420,0,9362,20545,1528.89,6415,,,,,
17-01-12,8197,dinsdag,0,396,0,13018,28470,1523.74,6007,,,,,
18-01-12,13014,woensdag,3,0,372,8389,19425,1527.43,6069,,,,,
19-01-12,12559,donderdag,7,60,624,7546,17444,1470.83,6057,,,,,
20-01-12,13797,vrijdag,5,108,72,6928,15731,1392.39,5461,,,,,
21-01-12,,zaterdag,8,0,462,4014,11756,1324.53,4395,,,,,
22-01-12,12623,zondag,7,60,198,7168,16972,1584.19,6267,,,,,
23-01-12,12936,maandag,5,282,162,9134,21754,1729.6,6863,,,,,
24-01-12,15362,dinsdag,3,84,0,13804,32181,1607.58,6628,,,,,
25-01-12,16026,woensdag,4,12,0,10684,22715,1565.26,6318,,,,,
26-01-12,14820,donderdag,5,0,594,9033,19150,1492.77,5899,,,,,
27-01-12,16063,vrijdag,4,378,0,7570,15900,1240.03,4949,,,,,
28-01-12,,zaterdag,3,324,0,4403,11412,1056.13,3798,,,,,
29-01-12,13589,zondag,-1,0,0,8059,16579,1487.98,5607,,,,,
30-01-12,6097,maandag,-2,0,30,9917,21130,1708.62,7126,,,,,
31-01-12,4729,dinsdag,-4,462,0,9434,22336,1673.27,7498,,,,,
01-02-12,11915,woensdag,-5,462,0,9616,23335,1916.73,8055,,,,,
02-02-12,11563,donderdag,-7,486,0,7770,18652,1773.81,7608,,,,,
03-02-12,15589,vrijdag,-8,18,318,8452,23740,2041.88,7244,,,,,
04-02-12,,zaterdag,-12,486,0,4777,16706,1754.5,5323,,,,,
05-02-12,13718,zondag,-7,378,0,9276,35788,2227.8,7443,,,,,
