,Date,Weekday,Voucher Total,Emails geaccepteerd,Emails unieke opens,TrafficTotal,Traffic split desktop,Traffic split mobile,Traffic split tablet,Som van Kosten,Som van Klikken,Ordered=Send
0,1-Jan-10,Vrijdag,"1,603",,,7016,,,,411.08,1580,
1,2-Jan-10,Zaterdag,"2,722",,,8988,,,,423.31,1823,
2,3-Jan-10,Zondag,"3,731",,,10512,,,,406.08,2043,3589.0
3,4-Jan-10,Maandag,"4,812",,,11726,,,,428.61,2048,3876.0
4,5-Jan-10,Dinsdag,"4,342",,,10222,,,,392.11,1736,3631.0
5,6-Jan-10,Woensdag,"4,205",,,9101,,,,395.59,1622,3018.0
6,7-Jan-10,Donderdag,"3,695",,,8634,,,,386.21,1514,2845.0
7,8-Jan-10,Vrijdag,"3,251",,,7638,,,,334.84,1446,3495.0
8,9-Jan-10,Zaterdag,"2,334",,,6669,,,,417.84,1504,
9,10-Jan-10,Zondag,"4,195",,,11182,,,,424.83,1758,2875.0
10,11-Jan-10,Maandag,"4,648",,,10616,,,,437.94,1900,3031.0
11,12-Jan-10,Dinsdag,"4,236",,,10306,,,,429.4,1815,3003.0
12,13-Jan-10,Woensdag,"4,021",,,9420,,,,422.61,1869,2643.0
13,14-Jan-10,Donderdag,"3,806",,,8715,,,,409.49,1645,3150.0
14,15-Jan-10,Vrijdag,"3,397",,,8106,,,,387.47,1543,3121.0
15,16-Jan-10,Zaterdag,"2,113",,,5936,,,,334.22,1271,
16,17-Jan-10,Zondag,"3,425",,,7999,,,,399.77,1621,2349.0
17,18-Jan-10,Maandag,"4,350",,,9632,,,,414.88,1803,2632.0
18,19-Jan-10,Dinsdag,"4,463",,,11103,,,,401.67,1730,2705.0
19,20-Jan-10,Woensdag,"4,531",,,11911,,,,412.67,1653,3130.0
20,21-Jan-10,Donderdag,"3,852",,,9116,,,,445.67,1640,2487.0
21,22-Jan-10,Vrijdag,"3,266",,,7753,,,,408.44,1503,2813.0
22,23-Jan-10,Zaterdag,"2,022",,,5845,,,,425.07,1273,
23,24-Jan-10,Zondag,"3,430",,,7956,,,,448.26,1582,2352.0
24,25-Jan-10,Maandag,"4,354",,,9482,,,,452.06,1753,2646.0
25,26-Jan-10,Dinsdag,"3,984",,,9220,,,,552.73,1972,2532.0
26,27-Jan-10,Woensdag,"4,217",,,9804,,,,581.0,2229,3751.0
27,28-Jan-10,Donderdag,"4,114",,,9499,,,,580.89,2164,2662.0
28,29-Jan-10,Vrijdag,"3,605",,,8917,,,,588.08,2038,2973.0
29,30-Jan-10,Zaterdag,"2,093",,,6598,,,,552.42,1750,
30,31-Jan-10,Zondag,"3,527",,,8793,,,,588.11,2062,2352.0
31,1-Feb-10,Maandag,"4,653",,,14651,,,,639.48,2452,2668.0
32,2-Feb-10,Dinsdag,"6,042",,,26321,,,,641.98,2545,3316.0
33,3-Feb-10,Woensdag,"5,176",,,22704,,,,624.07,2450,3078.0
34,4-Feb-10,Donderdag,"4,511",,,18040,,,,584.96,2239,2801.0
35,5-Feb-10,Vrijdag,"3,793",,,18325,,,,568.52,2120,2815.0
36,6-Feb-10,Zaterdag,"2,450",,,15163,,,,529.35,1743,
37,7-Feb-10,Zondag,"3,866",,,17330,,,,611.44,2169,2214.0
38,8-Feb-10,Maandag,"5,680",,,27690,,,,640.36,2550,2932.0
39,9-Feb-10,Dinsdag,"7,583",,,36037,,,,604.01,2473,3116.0
40,10-Feb-10,Woensdag,"8,701",,,38539,,,,500.46,2659,3761.0
41,11-Feb-10,Donderdag,"7,911",,,30701,,,,699.99,2888,3626.0
42,12-Feb-10,Vrijdag,"6,614",,,25018,,,,694.67,2683,7050.0
43,13-Feb-10,Zaterdag,"2,756",,,18871,,,,688.1,2222,
44,14-Feb-10,Zondag,"3,509",,,20502,,,,739.54,2638,2367.0
45,15-Feb-10,Maandag,"4,278",,,12229,,,,622.69,2190,2793.0
46,16-Feb-10,Dinsdag,"4,091",,,10613,,,,678.11,2392,2709.0
47,17-Feb-10,Woensdag,"4,293",,,10751,,,,680.1,2389,2816.0
48,18-Feb-10,Donderdag,"3,921",,,10183,,,,681.54,2282,3533.0
49,19-Feb-10,Vrijdag,"3,696",,,9417,,,,671.67,2274,2925.0
50,20-Feb-10,Zaterdag,"2,441",,,8155,,,,698.27,2037,
51,21-Feb-10,Zondag,"3,573",,,10174,,,,714.41,2352,2267.0
52,22-Feb-10,Maandag,"5,471",,,14184,,,,713.07,2558,3359.0
53,23-Feb-10,Dinsdag,"4,442",,,10809,,,,675.74,2297,2560.0
54,24-Feb-10,Woensdag,"4,166",,,10361,,,,680.03,2236,2644.0
55,25-Feb-10,Donderdag,"6,479",,,14992,,,,671.51,2274,3036.0
56,26-Feb-10,Vrijdag,"7,225",,,18383,,,,666.09,2111,5201.0
57,27-Feb-10,Zaterdag,"3,419",,,10562,,,,664.99,1939,
58,28-Feb-10,Zondag,"5,399",,,13452,,,,693.39,2316,3287.0
59,1-Mar-10,Maandag,"5,627",,,13552,,,,750.73,2379,3403.0
60,2-Mar-10,Dinsdag,"5,450",,,16163,,,,700.68,2283,2992.0
61,3-Mar-10,Woensdag,"5,786",,,20181,,,,715.52,2169,3422.0
62,4-Mar-10,Donderdag,"4,280",,,11986,,,,690.74,2074,2725.0
63,5-Mar-10,Vrijdag,"3,903",,,10611,,,,630.36,2015,3541.0
64,6-Mar-10,Zaterdag,"2,238",,,7609,,,,625.29,1827,
65,7-Mar-10,Zondag,"3,649",,,9775,,,,719.06,2296,2008.0
66,8-Mar-10,Maandag,"4,896",,,12001,,,,736.92,2505,3002.0
67,9-Mar-10,Dinsdag,"4,220",,,10584,,,,638.88,2303,2576.0
68,10-Mar-10,Woensdag,"4,745",,,11057,,,,649.62,2287,2776.0
69,11-Mar-10,Donderdag,"4,122",,,10317,,,,679.59,2393,2747.0
70,12-Mar-10,Vrijdag,"3,478",,,10055,,,,662.87,2123,3029.0
71,13-Mar-10,Zaterdag,"2,229",,,8366,,,,560.92,1746,
72,14-Mar-10,Zondag,"3,721",,,9732,,,,677.41,2126,2557.0
73,15-Mar-10,Maandag,"4,627",,,11353,,,,696.02,2516,3655.0
74,16-Mar-10,Dinsdag,"4,047",,,10622,,,,694.66,2463,2377.0
75,17-Mar-10,Woensdag,"3,629",,,9470,,,,599.26,2127,2325.0
76,18-Mar-10,Donderdag,"3,679",,,10227,,,,617.18,1960,2285.0
77,19-Mar-10,Vrijdag,"4,199",,,16812,,,,646.82,2131,3603.0
78,20-Mar-10,Zaterdag,"2,085",,,8895,,,,548.12,1752,
79,21-Mar-10,Zondag,"3,240",,,9638,,,,639.9,2086,2151.0
80,22-Mar-10,Maandag,"4,127",,,11227,,,,666.53,2375,2588.0
81,23-Mar-10,Dinsdag,"3,846",,,10418,,,,648.16,2209,2606.0
82,24-Mar-10,Woensdag,"3,854",,,9686,,,,651.05,2204,2403.0
83,25-Mar-10,Donderdag,"3,327",,,8704,,,,600.28,2007,2273.0
84,26-Mar-10,Vrijdag,"3,253",,,8889,,,,666.79,2181,2811.0
85,27-Mar-10,Zaterdag,"1,883",,,6861,,,,561.87,1828,
