fake_data,real_data,dates,,Grand Total
01/03/10,3-Jan-10,3-Jan-10,Zondag,3589
01/04/10,4-Jan-10,4-Jan-10,Maandag,3876
01/05/10,5-Jan-10,5-Jan-10,Dinsdag,3631
01/06/10,6-Jan-10,6-Jan-10,Woensdag,3018
01/07/10,7-Jan-10,7-Jan-10,Donderdag,2845
01/08/10,8-Jan-10,8-Jan-10,Vrijdag,3495
01/10/10,9-Jan-10,10-Jan-10,Zondag,2875
01/11/10,10-Jan-10,11-Jan-10,Maandag,3031
01/12/10,11-Jan-10,12-Jan-10,Dinsdag,3003
01/13/10,12-Jan-10,13-Jan-10,Woensdag,2643
01/14/10,13-Jan-10,14-Jan-10,Donderdag,3150
01/15/10,14-Jan-10,15-Jan-10,Vrijdag,3121
01/17/10,15-Jan-10,17-Jan-10,Zondag,2349
01/18/10,16-Jan-10,18-Jan-10,Maandag,2632
01/19/10,17-Jan-10,19-Jan-10,Dinsdag,2705
01/20/10,18-Jan-10,20-Jan-10,Woensdag,3130
01/21/10,19-Jan-10,21-Jan-10,Donderdag,2487
01/22/10,20-Jan-10,22-Jan-10,Vrijdag,2813
01/24/10,21-Jan-10,24-Jan-10,Zondag,2352
01/25/10,22-Jan-10,25-Jan-10,Maandag,2646
01/26/10,23-Jan-10,26-Jan-10,Dinsdag,2532
01/27/10,24-Jan-10,27-Jan-10,Woensdag,3751
01/28/10,25-Jan-10,28-Jan-10,Donderdag,2662
01/29/10,26-Jan-10,29-Jan-10,Vrijdag,2973
01/31/10,27-Jan-10,31-Jan-10,Zondag,2352
02/01/10,28-Jan-10,1-Feb-10,Maandag,2668
02/02/10,29-Jan-10,2-Feb-10,Dinsdag,3316
02/03/10,30-Jan-10,3-Feb-10,Woensdag,3078
02/04/10,31-Jan-10,4-Feb-10,Donderdag,2801
02/05/10,1-Feb-10,5-Feb-10,Vrijdag,2815
02/07/10,2-Feb-10,7-Feb-10,Zondag,2214
02/08/10,3-Feb-10,8-Feb-10,Maandag,2932
02/09/10,4-Feb-10,9-Feb-10,Dinsdag,3116
02/10/10,5-Feb-10,10-Feb-10,Woensdag,3761
02/11/10,6-Feb-10,11-Feb-10,Donderdag,3626
02/12/10,7-Feb-10,12-Feb-10,Vrijdag,7050
02/14/10,8-Feb-10,14-Feb-10,Zondag,2367
02/15/10,9-Feb-10,15-Feb-10,Maandag,2793
02/16/10,10-Feb-10,16-Feb-10,Dinsdag,2709
02/17/10,11-Feb-10,17-Feb-10,Woensdag,2816
02/18/10,12-Feb-10,18-Feb-10,Donderdag,3533
02/19/10,13-Feb-10,19-Feb-10,Vrijdag,2925
02/21/10,14-Feb-10,21-Feb-10,Zondag,2267
02/22/10,15-Feb-10,22-Feb-10,Maandag,3359
02/23/10,16-Feb-10,23-Feb-10,Dinsdag,2560
02/24/10,17-Feb-10,24-Feb-10,Woensdag,2644
02/25/10,18-Feb-10,25-Feb-10,Donderdag,3036
02/26/10,19-Feb-10,26-Feb-10,Vrijdag,5201
02/28/10,20-Feb-10,28-Feb-10,Zondag,3287
03/01/10,21-Feb-10,1-Mar-10,Maandag,3403
03/02/10,22-Feb-10,2-Mar-10,Dinsdag,2992
03/03/10,23-Feb-10,3-Mar-10,Woensdag,3422
03/04/10,24-Feb-10,4-Mar-10,Donderdag,2725
03/05/10,25-Feb-10,5-Mar-10,Vrijdag,3541
03/07/10,26-Feb-10,7-Mar-10,Zondag,2008
03/08/10,27-Feb-10,8-Mar-10,Maandag,3002
03/09/10,28-Feb-10,9-Mar-10,Dinsdag,2576
03/10/10,1-Mar-10,10-Mar-10,Woensdag,2776
03/11/10,2-Mar-10,11-Mar-10,Donderdag,2747
03/12/10,3-Mar-10,12-Mar-10,Vrijdag,3029
03/14/10,4-Mar-10,14-Mar-10,Zondag,2557
03/15/10,5-Mar-10,15-Mar-10,Maandag,3655
03/16/10,6-Mar-10,16-Mar-10,Dinsdag,2377
03/17/10,7-Mar-10,17-Mar-10,Woensdag,2325
03/18/10,8-Mar-10,18-Mar-10,Donderdag,2285
